Region_ID, Region_name, Region_class, Process_ID, Height_mean, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Standard_deviation, Num_targets, TS_mean, Target_range_mean, Speed_4D_mean_unsmoothed, Fish_track_change_in_range, Time_in_beam, Distance_3D_unsmoothed, Thickness_mean, Exclude_below_line_range_mean, Target_depth_mean, Target_depth_max, Target_depth_min, Fish_track_change_in_depth,Site
406," ""Region 406"""," ""38kHz RedSnapper""",24,0.216809,2019,2026,0.308131,20191110, 17:01:14.8670,29.94205067,-86.14625933,1.38E-05,5,-37.942758,36.76582,4.377,-0.264911,0.9,3.9393,0.216809,37.966708,36.736805,36.828688,36.597345,-0.231343,Site1PipeJohn
407," ""Region 407"""," ""38kHz RedSnapper""",24,0.216809,2028,2039,0.310256,20191110, 17:01:16.3110,29.94207079,-86.14629285,7.90E-05,9,-37.592995,27.890984,2.2777,-0.603933,1.537,3.5009,0.216809,38.152415,27.862348,28.191825,27.57499,-0.616835,Site1PipeJohn
408," ""Region 408"""," ""38kHz RedSnapper""",24,0.216809,2066,2083,0.318034,20191110, 17:01:22.3090,29.94213431,-86.14642284,5.88E-05,13,-38.89401,30.342465,3.5016,-0.825224,2.362,8.2709,0.216809,38.45022,30.315539,30.760375,29.940378,-0.819997,Site1PipeJohn
409," ""Region 409"""," ""38kHz RedSnapper""",24,0.21391,2090,2099,0.321895,20191110, 17:01:25.1290,29.94216031,-86.14649032,0.00010088,10,-33.856693,31.130459,3.8013,-0.45557,1.281,4.8695,0.21391,38.339842,31.107954,31.359951,30.863219,-0.496732,Site1PipeJohn
410," ""Region 410"""," ""38kHz RedSnapper""",24,0.216809,2450,2463,0.394207,20191110, 17:02:20.3400,29.94202862,-86.14785397,7.60E-06,5,-47.390752,35.638726,3.1706,0.83948,1.803,5.7166,0.216809,38.664294,35.608915,36.079957,35.266022,0.771219,Site1PipeJohn
411," ""Region 411"""," ""38kHz RedSnapper""",24,0.216809,3663,3674,0.858653,20191110, 17:10:08.9160,29.94197131,-86.14588197,1.32E-05,5,-47.001502,30.07867,3.2513,-0.908951,1.328,4.3177,0.216809,38.621314,30.072105,30.482005,29.561785,-0.92022,Site1PipeJohn
412," ""Region 412"""," ""38kHz RedSnapper""",24,0.216809,3687,3696,0.862334,20191110, 17:10:11.7550,29.94198356,-86.14595114,0.0001891,10,-30.354865,35.33096,3.0575,-0.101572,1.077,3.2929,0.216809,38.448665,35.281925,35.357823,35.24169,-0.104669,Site1PipeJohn
413," ""Region 413"""," ""38kHz RedSnapper""",24,0.216809,3680,3696,0.862134,20191110, 17:10:11.3670,29.94198295,-86.14594735,5.49E-05,8,-39.827912,31.460817,3.5319,-0.369312,1.974,6.972,0.216809,38.480883,31.441855,31.768948,31.216199,-0.381868,Site1PipeJohn
414," ""Region 414"""," ""38kHz RedSnapper""",24,0.216809,3695,3705,0.863611,20191110, 17:10:12.8480,29.94198833,-86.145975,0.000114501,6,-33.35942,32.410007,3.0376,-0.187785,1.263,3.8365,0.216809,38.452342,32.354301,32.480279,32.27345,-0.206829,Site1PipeJohn
415," ""Region 415"""," ""38kHz RedSnapper""",24,0.216809,3695,3707,0.863611,20191110, 17:10:12.9650,29.94198833,-86.145975,4.24E-05,9,-37.528355,31.919898,3.0399,-0.113219,1.512,4.5964,0.216809,38.462514,31.891844,32.001107,31.78994,-0.138139,Site1PipeJohn
